Main Product Name,HS Code,Input Product,Industry,NAICS Code,Percentage Cost
"Building blocks and bricks of cement, concrete or artificial stone",250510,"Natural sands of all kinds, whether or not coloured",Sand and Gravel Mining,212321,20.0
"Building blocks and bricks of cement, concrete or artificial stone",252100,Limestone flux; limestone and other calcareous stone,Lime Manufacturing,327410,15.0
"Building blocks and bricks of cement, concrete or artificial stone",382450,Concrete additives,Chemical Manufacturing,325998,10.0
Optical Media for Software,390110,Polyethylene with a specific gravity not exceeding 0.94,Plastics Material and Resin Manufacturing,325211,25.0
Optical Media for Software,390120,Polyethylene with a specific gravity exceeding 0.94,Plastics Material and Resin Manufacturing,325211,20.0
Optical Media for Software,391990,"Self-adhesive plates, sheets, film, foil, tape, strip and other flat shapes, of plastics",Plastics Packaging Materials and Unlaminated Film and Sheet Manufacturing,326113,10.0
"Medical furniture (hospital beds, examination tables, etc.)",721699,"Iron or non-alloy steel, flat-rolled products, not clad, plated or coated",Steel Manufacturing,331110,25.0
"Medical furniture (hospital beds, examination tables, etc.)",392690,"Articles of plastics and articles of other materials of headings 3901 to 3914, n.e.s.",Plastics Product Manufacturing,326199,15.0
"Medical furniture (hospital beds, examination tables, etc.)",730890,"Structures and parts of structures, of iron or steel, n.e.s.",Fabricated Metal Product Manufacturing,332312,10.0
"Medical furniture (hospital beds, examination tables, etc.)",940290,"Medical, surgical, dental or veterinary furniture, and parts thereof",Furniture Manufacturing,337127,20.0
"Medical furniture (hospital beds, examination tables, etc.)",850110,Electric motors of an output not exceeding 37.5W,Electrical Equipment Manufacturing,335312,5.0
"Medical furniture (hospital beds, examination tables, etc.)",401699,"Articles of vulcanized rubber other than hard rubber, n.e.s.",Rubber Product Manufacturing,326299,5.0
Optical Media for Software,852341,"Optical media for recording sound or other phenomena, unrecorded",Media Manufacturing,334614,30.0
Optical Media for Software,390710,"Polyacetals, in primary forms",Plastics Manufacturing,325211,20.0
Optical Media for Software,370130,"Photographic plates and film, flat, sensitised, unexposed, of any material other than paper, paperboard or textiles",Photographic Film and Chemical Manufacturing,325992,10.0
Optical Media for Software,390120,"Polyethylene having a specific gravity of 0.94 or more, in primary forms",Plastics Manufacturing,325211,10.0
Office furniture,440799,"Wood, sawn or chipped lengthwise, sliced or peeled",Sawmills and Wood Preservation,321113,25.0
Office furniture,940190,Parts of seats,Furniture and Related Product Manufacturing,337127,15.0
Office furniture,940390,"Parts of furniture, n.e.s.",Furniture and Related Product Manufacturing,337122,10.0
Office furniture,392690,Other articles of plastics and articles of other materials of headings 3901 to 3914,Plastics Product Manufacturing,326199,8.0
Office furniture,732690,Other articles of iron or steel,Fabricated Metal Product Manufacturing,332999,5.0
"Machinery, plant or laboratory equipment, whether or not electrically heated",720712,Semi-finished products of iron or non-alloy steel,Iron and Steel Mills and Ferroalloy Manufacturing,331110,15.0
"Machinery, plant or laboratory equipment, whether or not electrically heated",730890,"Structures and parts of structures, of iron or steel",Fabricated Structural Metal Manufacturing,332312,10.0
"Machinery, plant or laboratory equipment, whether or not electrically heated",854449,"Electric conductors, for a voltage not exceeding 1,000 V",Other Electronic Component Manufacturing,334419,8.0
"Machinery, plant or laboratory equipment, whether or not electrically heated",850440,Static converters,Electrical Equipment Manufacturing,335999,5.0
Semi-finished products of iron or non-alloy steel,260111,"Iron ores and concentrates, other than roasted iron pyrites",Iron Ore Mining,212210,40.5
Semi-finished products of iron or non-alloy steel,270112,"Bituminous coal, not agglomerated",Coal Mining,212112,15.0
Semi-finished products of iron or non-alloy steel,271012,Light oils and preparations,Petroleum Refineries,324110,5.0
Semi-finished products of iron or non-alloy steel,720410,Waste and scrap of cast iron,Metal Scrap Wholesalers,423930,10.0
"Flat-rolled products of iron or non-alloy steel, painted, varnished or coated with plastics",7210.70,"Flat-rolled products of iron or non-alloy steel, painted, varnished or coated with plastics",Iron and Steel Mills and Ferroalloy Manufacturing,331110,40.0
"Flat-rolled products of iron or non-alloy steel, painted, varnished or coated with plastics",3901.10,Polyethylene with a specific gravity of less than 0.94,Plastics Material and Resin Manufacturing,325211,15.0
"Flat-rolled products of iron or non-alloy steel, painted, varnished or coated with plastics",3210.00,Paints and varnishes,Paint and Coating Manufacturing,325510,10.0
Optical Media for Software,8523.29,Magnetic media for the recording of sound or other phenomena,Semiconductor and Other Electronic Component Manufacturing,334413,25.0
Optical Media for Software,3907.99,"Other polyesters, in primary forms",Plastics Material and Resin Manufacturing,325211,20.0
Optical Media for Software,8482.10,Ball bearings,Ball and Roller Bearing Manufacturing,332991,5.0
"Flat-rolled products of iron or non-alloy steel, of a width of 600 mm or more, hot-rolled, not clad, plated or coated",2601.11,"Iron ores and concentrates, other than roasted iron pyrites",Mining and Quarrying,212210,40.0
"Flat-rolled products of iron or non-alloy steel, of a width of 600 mm or more, hot-rolled, not clad, plated or coated",2701.12,"Bituminous coal, not agglomerated",Mining,212112,10.0
"Flat-rolled products of iron or non-alloy steel, of a width of 600 mm or more, hot-rolled, not clad, plated or coated",7204.10,Ferrous waste and scrap; remelting scrap ingots of iron or steel,Recycling,331110,15.0
Optical Media for Software,3907.99,"Polyesters, in primary forms",Plastics Manufacturing,325211,25.0
Optical Media for Software,3919.90,"Self-adhesive plates, sheets, film, foil, tape, strip and other flat shapes, of plastics",Plastics Manufacturing,326113,10.0
Optical Media for Software,3701.30,"Photographic plates and film in the flat, sensitized, unexposed",Photographic Film and Paper Manufacturing,325992,15.0
"Tubes, pipes and hollow profiles, seamless, of iron or steel",7207.20,Semi-finished products of iron or non-alloy steel,Iron and Steel Mills and Ferroalloy Manufacturing,331110,50.0
"Tubes, pipes and hollow profiles, seamless, of iron or steel",7214.99,"Bars and rods, hot-rolled, in irregularly wound coils, of iron or non-alloy steel",Iron and Steel Mills and Ferroalloy Manufacturing,331110,25.0
"Tubes, pipes and hollow profiles, seamless, of iron or steel",7208.10,"Flat-rolled products of iron or non-alloy steel, of a width of 600 mm or more, hot-rolled, not clad, plated or coated",Iron and Steel Mills and Ferroalloy Manufacturing,331110,15.0
Optical Media for Software,8523.49,"Discs for laser reading systems, recorded, excluding products of Chapter 37",Software Reproducing,334614,30.0
Optical Media for Software,3920.20,"Plates, sheets, film, foil and strip, of plastics, non-cellular and not reinforced, laminated, supported or similarly combined with other materials",Plastics Material and Resin Manufacturing,325211,20.0
Optical Media for Software,3701.30,"Photographic plates and film in the flat, sensitized, unexposed, of any material other than paper, paperboard or textiles; instant print film in the flat, sensitized, unexposed","Photographic Film, Paper, Plate, and Chemical Manufacturing",325992,10.0
Trailers and semi-trailers; parts,722830,"Bars and rods, of alloy steel other than stainless",Steel Manufacturing,331110,15.0
Trailers and semi-trailers; parts,870850,"Drive-axles with differential, whether or not provided with other transmission components",Automotive Parts Manufacturing,336350,20.0
Trailers and semi-trailers; parts,731815,"Bolts and screws, nes, with or without their nuts or washers, iron or steel",Fastener Manufacturing,332722,10.0
Trailers and semi-trailers; parts,730630,"Other tubes, pipes and hollow profiles, welded, of circular cross-section, of iron or non-alloy steel",Steel Pipe and Tube Manufacturing,331210,8.0
Reagents and diagnostic or laboratory reagents,280429,Rare Gases Other Than Argon,Industrial Gas Manufacturing,325120,5.0
Reagents and diagnostic or laboratory reagents,382200,Composite Diagnostic or Laboratory Reagents,Pharmaceutical and Medicine Manufacturing,325413,20.0
Reagents and diagnostic or laboratory reagents,293499,Nucleic Acids and Their Salts,Basic Chemical Manufacturing,325199,15.0
Optical Media for Software,852341,Optical Media for Software,Software Reproducing,334614,40.0
Optical Media for Software,390410,Polyvinyl Chloride,Plastics Material and Resin Manufacturing,325211,10.0
Optical Media for Software,850490,Parts of Electrical Transformers and Inductors,Electrical Equipment Manufacturing,335999,5.0
"Centrifuges, including centrifugal dryers",730721,Flanges of Stainless Steel,Steel Product Manufacturing,332911,15.0
"Centrifuges, including centrifugal dryers",850151,Electric Motors of an Output Not Exceeding 750 W,Electric Motor Manufacturing,335312,20.0
"Centrifuges, including centrifugal dryers",841490,"Parts of Air or Vacuum Pumps, Compressors and Fans",Pump and Compressor Manufacturing,333912,10.0
"Centrifuges, including centrifugal dryers",732690,Other Articles of Iron or Steel,Metalworking,332999,5.0
Machinery for treatment of materials by a process involving a change of temperature,730900,"Reservoirs, tanks, vats and similar containers for any material",Fabricated Metal Product Manufacturing,3324,12.5
Machinery for treatment of materials by a process involving a change of temperature,841490,"Parts of air or vacuum pumps, air or gas compressors and fans; parts of ventilating or recycling hoods",Machinery Manufacturing,3339,15.0
Machinery for treatment of materials by a process involving a change of temperature,850300,Parts suitable for use solely or principally with the machines of heading 8501 or 8502,Electrical Equipment Manufacturing,3353,8.0
Machinery for treatment of materials by a process involving a change of temperature,902610,Instruments and apparatus for measuring or checking the flow or level of liquids,Electrical Equipment Manufacturing,3345,6.5
Eye makeup preparations,290220,Benzene,Chemical Manufacturing,325110,5.0
Eye makeup preparations,330290,Mixtures of Odoriferous Substances,Fragrance and Flavor Manufacturing,325620,10.0
Eye makeup preparations,340213,Non-ionic Organic Surface-active Agents,Soap and Other Detergent Manufacturing,325611,8.0
Eye makeup preparations,390690,Acrylic Polymers,Plastics Material and Resin Manufacturing,325211,7.0
Eye makeup preparations,320490,Synthetic Organic Coloring Matter,Dye and Pigment Manufacturing,325130,12.0
Hair preparations,330290,Mixtures of Odoriferous Substances,Chemical Manufacturing,325199,25.0
Hair preparations,330190,Essential Oils,Chemical Manufacturing,325199,15.0
Hair preparations,391990,"Self-Adhesive Plates, Sheets, Film, Foil, Tape",Plastics Product Manufacturing,326113,10.0
Hair preparations,340111,Soap and Organic Surface-Active Products,Chemical Manufacturing,325611,5.0
Optical Media for Software,852341,Discs for Laser Reading Systems for Reproducing Software,Computer and Electronic Product Manufacturing,334614,30.0
Optical Media for Software,392690,Other Articles of Plastics,Plastics Product Manufacturing,326199,20.0
Optical Media for Software,850490,"Parts of Electrical Transformers, Static Converters",Electrical Equipment Manufacturing,335999,10.0
"Aluminum Plates, Sheets and Strip, Thickness > 0.2mm",760110,Unwrought Aluminum,Primary Aluminum Production,331313,40.0
"Aluminum Plates, Sheets and Strip, Thickness > 0.2mm",760120,Aluminum Alloys,Aluminum Product Manufacturing,331315,25.0
"Aluminum Plates, Sheets and Strip, Thickness > 0.2mm",760410,"Aluminum Bars, Rods and Profiles",Aluminum Product Manufacturing,331318,15.0
Optical Media for Software,390210,Polypropylene,Plastics Material and Resin Manufacturing,325211,30.0
Optical Media for Software,392690,Plastic Articles,Other Plastics Product Manufacturing,326199,20.0
Optical Media for Software,852321,Magnetic Discs for Reproducing Phenomena,Magnetic and Optical Recording Media Manufacturing,334613,10.0
Optical Fiber Equipment,854470,Optical Fiber Cables,Fiber Optic Cable Manufacturing,335921,35.0
Optical Fiber Equipment,900110,"Optical Fibers, Optical Fiber Bundles and Cables",Optical Instrument and Lens Manufacturing,333314,25.0
Optical Fiber Equipment,392690,Plastic Parts for Optical Fiber Equipment,Plastics Product Manufacturing,326199,10.0
Optical Fiber Equipment,854449,"Other Electric Conductors, for a Voltage Not Exceeding 1000V",Wiring Device Manufacturing,335931,8.0
Optical Fiber Equipment,853690,Electrical Apparatus for Switching or Protecting Electrical Circuits,Switchgear and Switchboard Apparatus Manufacturing,335313,5.0
Freezers of the household type,841899,"Parts of refrigerators, freezers and other refrigerating or freezing equipment",Refrigeration Equipment Manufacturing,333415,20.0
Freezers of the household type,854449,"Insulated electric conductors, for a voltage not exceeding 1,000 V",Electrical Equipment Manufacturing,335931,5.0
Freezers of the household type,720918,"Flat-rolled products of iron or non-alloy steel, in coils, of a width of 600 mm or more, cold-rolled",Steel Product Manufacturing,331221,15.0
Freezers of the household type,392690,Other articles of plastics,Plastics Product Manufacturing,326199,10.0
Copper Tubes and Pipes,740811,Copper Wire,Nonferrous Metal (except Aluminum) Production and Processing,331420,60.0
Copper Tubes and Pipes,740819,Copper Wire of Refined Copper,Nonferrous Metal (except Aluminum) Production and Processing,331420,15.0
Copper Tubes and Pipes,740710,"Copper Bars, Rods and Profiles",Nonferrous Metal (except Aluminum) Production and Processing,331420,10.0
Optical Media for Software,392690,Plastics Articles,All Other Plastics Product Manufacturing,326199,40.0
Optical Media for Software,370130,Photographic Plates and Film,"Photographic Film, Paper, Plate, and Chemical Manufacturing",325992,25.0
Optical Media for Software,850490,Parts of Electrical Transformers,Other Electrical Equipment and Component Manufacturing,335999,15.0
"Valves for Pipes, Boilers, Tanks, Etc.",730721,Stainless Steel Flanges,Iron and Steel Manufacturing,331210,15.0
"Valves for Pipes, Boilers, Tanks, Etc.",730723,Stainless Steel Butt Welding Fittings,Iron and Steel Manufacturing,331210,10.0
"Valves for Pipes, Boilers, Tanks, Etc.",848120,Valves for Hydraulic or Pneumatic Transmissions,Fluid Power Equipment Manufacturing,333996,20.0
"Valves for Pipes, Boilers, Tanks, Etc.",848180,Other Valves,Valve and Fitting Manufacturing,332919,25.0
"Valves for Pipes, Boilers, Tanks, Etc.",732690,Other Articles of Iron or Steel,Metal Product Manufacturing,332999,5.0
Perfumes and Toilet Waters,330210,Mixtures of odoriferous substances for the food or drink industries.,Chemical Manufacturing,325199,25.0
Perfumes and Toilet Waters,330290,"Mixtures of odoriferous substances, excluding those for the food or drink industries.",Chemical Manufacturing,325199,30.0
Perfumes and Toilet Waters,291429,"Ketones and quinones, and their derivatives, used in perfumes",Chemical Manufacturing,325199,15.0
Perfumes and Toilet Waters,330300,Perfume bases,Chemical Manufacturing,325620,10.0
Optical Media for Software,852341,Unrecorded magnetic discs,Magnetic and Optical Media Manufacturing,334613,40.0
Optical Media for Software,852349,Other optical media,Magnetic and Optical Media Manufacturing,334613,35.0
Optical Media for Software,392690,Other articles of plastics,Plastics Product Manufacturing,326199,10.0
Lip Make-Up Preparations,330499,Fragrance compounds,Chemical Manufacturing,325620,10.5
Lip Make-Up Preparations,390690,Acrylic polymers in primary forms,Plastics Material and Resin Manufacturing,325211,15.0
Lip Make-Up Preparations,291570,Stearic acid,Fat and Oil Refining and Blending,311225,12.0
Lip Make-Up Preparations,320649,Pigments and preparations based on titanium dioxide,Paint and Coating Manufacturing,325510,8.0
Lip Make-Up Preparations,340213,Non-ionic organic surface-active agents,Soap and Other Detergent Manufacturing,325611,5.0
Optical Media for Software,392690,Plastic articles not elsewhere specified,Plastics Product Manufacturing,326199,20.0
Optical Media for Software,852341,Optical media for reproducing phenomena other than sound or image,Magnetic and Optical Recording Media Manufacturing,334613,25.0
Optical Media for Software,370130,Photographic plates and film in the flat,"Photographic Film, Paper, Plate, and Chemical Manufacturing",325992,10.0
Eye Make-Up Preparations,291539,Esters of other inorganic acids (excluding esters of hydrogen halides) and their salts,Chemical Manufacturing,325199,15.0
Eye Make-Up Preparations,330290,"Mixtures of odoriferous substances and mixtures (including alcoholic solutions) with a basis of one or more of these substances, of a kind used as raw materials in industry",Fragrance and Flavor Manufacturing,325620,10.0
Eye Make-Up Preparations,340213,Non-ionic organic surface-active agents,Surfactant Manufacturing,325611,12.0
Eye Make-Up Preparations,390690,Other acrylic polymers in primary forms,Plastics Material and Resin Manufacturing,325211,8.0
Eye Make-Up Preparations,320417,Pigments and preparations based on synthetic organic pigments,Pigment and Dye Manufacturing,325130,20.0
Hair Shampoos,340213,"Organic surface-active agents, non-soap",Chemical Manufacturing,325611,20.0
Hair Shampoos,330590,"Hair preparations, not elsewhere specified",Toiletry Manufacturing,325620,15.0
Hair Shampoos,330290,Mixtures of odoriferous substances,Fragrance and Flavor Manufacturing,325620,10.0
Hair Shampoos,390690,"Acrylic polymers, in primary forms",Plastics Material and Resin Manufacturing,325211,5.0
Insulated wire and cable,740811,Copper wire,"Copper Rolling, Drawing, Extruding, and Alloying",331420,30.0
Insulated wire and cable,390120,Polyethylene,Plastics Material and Resin Manufacturing,325211,20.0
Insulated wire and cable,390410,Polyvinyl chloride (PVC),Plastics Material and Resin Manufacturing,325211,15.0
Insulated wire and cable,854411,Insulated winding wire,Wiring Device Manufacturing,335932,10.0
"Parts suitable for use with the apparatus of heading 8535, 8536 or 8537",740811,Copper wire,Copper and Copper Alloy Manufacturing,331420,15.0
"Parts suitable for use with the apparatus of heading 8535, 8536 or 8537",854411,Insulated winding wire,Wiring Device Manufacturing,335932,10.0
"Parts suitable for use with the apparatus of heading 8535, 8536 or 8537",850300,Parts suitable for use with the machines of heading 8501 or 8502,Electric Motor and Generator Manufacturing,335312,20.0
"Parts suitable for use with the apparatus of heading 8535, 8536 or 8537",392690,Other articles of plastics,Plastics Product Manufacturing,326199,12.0
"Integrated Circuits, Processors and Controllers",854231,Electronic Integrated Circuits,Semiconductor and Other Electronic Component Manufacturing,334413,25.0
"Integrated Circuits, Processors and Controllers",760120,Aluminum Alloys,Alumina and Aluminum Production and Processing,331313,10.0
"Integrated Circuits, Processors and Controllers",381800,Chemical Elements Doped for Electronics,Basic Chemical Manufacturing,325120,15.0
"Integrated Circuits, Processors and Controllers",392690,Plastics and Articles Thereof,Plastics Product Manufacturing,326199,5.0
"Integrated Circuits, Processors and Controllers",850440,Electrical Transformers and Inductors,Electrical Equipment Manufacturing,335999,8.0
Optical Media for Software,852341,"Optical Media, Unrecorded",Magnetic and Optical Recording Media Manufacturing,334613,30.0
Optical Media for Software,391990,Self-adhesive Plastics,Plastic Film and Sheet Manufacturing,326113,12.0
Optical Media for Software,370790,Chemical Preparations for Photographic Uses,"Photographic Film, Paper, Plate, and Chemical Manufacturing",325992,7.0
"Integrated Circuits, Other than Processors and Controllers",854232,Electronic Integrated Circuits,Semiconductor and Related Device Manufacturing,334413,35.0
"Integrated Circuits, Other than Processors and Controllers",848620,Machines for Manufacturing Semiconductor Devices or Electronic Integrated Circuits,Industrial Machinery Manufacturing,333242,20.0
"Integrated Circuits, Other than Processors and Controllers",381800,Chemical Elements Doped for Use in Electronics,Basic Chemical Manufacturing,3251,15.0
"Integrated Circuits, Other than Processors and Controllers",854150,Semiconductor Devices,Semiconductor and Related Device Manufacturing,334413,10.0
"Memories, Integrated Circuits",854232,Electronic Integrated Circuits (Processors and Controllers),Semiconductor and Other Electronic Component Manufacturing,334413,25.0
"Memories, Integrated Circuits",854239,Electronic Integrated Circuits (Other),Semiconductor and Other Electronic Component Manufacturing,334413,15.0
"Memories, Integrated Circuits",854233,Electronic Integrated Circuits (Amplifiers),Semiconductor and Other Electronic Component Manufacturing,334413,10.0
"Memories, Integrated Circuits",854290,Parts of Electronic Integrated Circuits,Semiconductor and Other Electronic Component Manufacturing,334413,5.0
Gearboxes and parts thereof,732690,Other articles of iron or steel,Iron and Steel Manufacturing,331110,15.0
Gearboxes and parts thereof,870840,Gear boxes and parts thereof,Automotive Parts Manufacturing,336350,25.0
Gearboxes and parts thereof,848340,Gears and gearing; ball screws; gear boxes and other speed changers,Mechanical Power Transmission Equipment Manufacturing,333612,30.0
Optical Media for Software,852341,Optical media for the recording of sound or of other phenomena,"Software and Other Prerecorded Compact Disc, Tape, and Record Reproducing",334614,40.0
Optical Media for Software,392690,Other articles of plastics,Plastics Product Manufacturing,326199,10.0
Optical Media for Software,900120,Sheets and plates of polarising material,Optical Instrument and Lens Manufacturing,333314,5.0
Herbicides,290919,"Acyclic Ethers and Their Halogenated, Sulfonated, Nitrated or Nitrosated Derivatives",Chemical Manufacturing,325199,15.0
Herbicides,292144,Diethanolamine and Its Salts,Chemical Manufacturing,325199,10.0
Herbicides,293319,Heterocyclic Compounds with Nitrogen Hetero-Atom(s) Only,Chemical Manufacturing,325199,12.0
Optical Media for Software,390740,"Polycarbonates, in Primary Forms",Plastics Manufacturing,325211,20.0
Optical Media for Software,850490,"Electrical Transformers, Static Converters, and Inductors",Electrical Equipment Manufacturing,335999,5.0
Optical Media for Software,392690,Other Articles of Plastics,Plastics Manufacturing,326199,8.0
Other Pesticides,293319,Organo-sulfur compounds,Chemical Manufacturing,325199,15.0
Other Pesticides,290919,"Acyclic ethers and their halogenated, sulfonated, nitrated or nitrosated derivatives",Chemical Manufacturing,325199,10.0
Other Pesticides,292429,Cyclic amides (including cyclic carbamates) and their derivatives; salts thereof,Chemical Manufacturing,325199,12.0
Other Pesticides,380893,"Herbicides, anti-sprouting products and plant-growth regulators",Chemical Manufacturing,325320,20.0
Other Pesticides,382499,Chemical products and preparations not elsewhere specified,Chemical Manufacturing,325998,8.0
Instruments for measuring or checking semiconductor wafers or devices,854239,Electronic integrated circuits,Semiconductor and Related Device Manufacturing,334413,25.0
Instruments for measuring or checking semiconductor wafers or devices,903082,Instruments and apparatus for measuring or checking semiconductor wafers or devices,Analytical Laboratory Instrument Manufacturing,334516,20.0
Instruments for measuring or checking semiconductor wafers or devices,901320,"Lasers, other than laser diodes",Optical Instrument and Lens Manufacturing,333314,15.0
Instruments for measuring or checking semiconductor wafers or devices,902790,Microtomes; parts and accessories of instruments and apparatus for physical or chemical analysis,Analytical Laboratory Instrument Manufacturing,334516,10.0
Instruments for measuring or checking semiconductor wafers or devices,392690,Other articles of plastics,Plastics Product Manufacturing,326199,5.0
Gas analyzers,854239,Electronic integrated circuits,Semiconductor and Other Electronic Component Manufacturing,334413,15.0
Gas analyzers,902690,Parts and accessories for gas and smoke analysis apparatus,Analytical Laboratory Instrument Manufacturing,334516,20.0
Gas analyzers,853650,Switches for electrical circuits,Switchgear and Switchboard Apparatus Manufacturing,335313,10.0
Gas analyzers,903289,Automatic regulating or controlling instruments,Analytical Laboratory Instrument Manufacturing,334516,12.0
"Paints and varnishes, based on polyesters",390720,"Polyesters, unsaturated, in primary forms",Chemical Manufacturing,325211,35.0
"Paints and varnishes, based on polyesters",381190,"Anti-knock preparations, oxidation inhibitors, gum inhibitors, viscosity improvers, anti-corrosive preparations and other prepared additives, for mineral oils (including gasoline) or for other liquids used for the same purposes as mineral oils",Chemical Manufacturing,325998,15.0
"Paints and varnishes, based on polyesters",320890,"Paints and varnishes (including enamels and lacquers) based on synthetic polymers or chemically modified natural polymers, dispersed or dissolved in a non-aqueous medium",Paint and Coating Manufacturing,325510,10.0
"Paints and varnishes, based on polyesters",390791,"Polyesters, saturated, in primary forms",Chemical Manufacturing,325211,20.0
"Paints and varnishes, based on acrylic or vinyl polymers",390690,Acrylic polymers in primary forms,Basic Chemical Manufacturing,325199,25.0
"Paints and varnishes, based on acrylic or vinyl polymers",390530,Vinyl acetate copolymers in primary forms,Basic Chemical Manufacturing,325211,20.0
"Paints and varnishes, based on acrylic or vinyl polymers",320890,Other paints and varnishes based on synthetic polymers,Paint and Coating Manufacturing,325510,15.0
"Paints and varnishes, based on acrylic or vinyl polymers",381400,Organic composite solvents and thinners,Paint and Coating Manufacturing,325510,10.0
Optical Media for Software,392690,"Plastics and articles thereof, not elsewhere specified",Plastics Product Manufacturing,326199,30.0
Optical Media for Software,852390,Prepared unrecorded media for sound recording or similar recording of other phenomena,Magnetic and Optical Recording Media Manufacturing,334613,50.0
Optical Media for Software,370790,Chemical preparations for photographic uses,"Photographic Film, Paper, Plate, and Chemical Manufacturing",325992,5.0
Stainless Steel in Ingots or Other Primary Forms,720410,Ferrous Waste and Scrap,Iron and Steel Mills and Ferroalloy Manufacturing,331110,25.0
Stainless Steel in Ingots or Other Primary Forms,720241,Ferrochromium,Iron and Steel Mills and Ferroalloy Manufacturing,331110,15.0
Stainless Steel in Ingots or Other Primary Forms,720230,Ferro-silicon,Iron and Steel Mills and Ferroalloy Manufacturing,331110,10.0
Stainless Steel in Ingots or Other Primary Forms,720270,Ferro-manganese,Iron and Steel Mills and Ferroalloy Manufacturing,331110,8.0
"Nickel, Not Alloyed, Unwrought",2604.00,Nickel ores and concentrates,Nickel Mining,212299,40.0
"Nickel, Not Alloyed, Unwrought",2707.50,Nickel matte and other intermediate products of nickel metallurgy,Nickel Smelting and Refining,331410,25.0
"Nickel, Not Alloyed, Unwrought",2501.00,Salt (including table salt and denatured salt),Salt Production,212393,5.0
"Bars and Rods of Alloy Steel, Other than Stainless",720221,"Ferro-silicon, containing by weight more than 55% of silicon",Iron and Steel Mills and Ferroalloy Manufacturing,331110,15.0
"Bars and Rods of Alloy Steel, Other than Stainless",720241,"Ferro-chromium, containing by weight more than 4% of carbon",Iron and Steel Mills and Ferroalloy Manufacturing,331110,10.0
"Bars and Rods of Alloy Steel, Other than Stainless",720310,Ferrous products obtained by direct reduction of iron ore,Iron and Steel Mills and Ferroalloy Manufacturing,331110,20.0
Optical Media for Software,392690,"Articles of plastics and articles of other materials of headings 39.01 to 39.14, n.e.s.",Plastics Product Manufacturing,326199,25.0
Optical Media for Software,852329,"Magnetic media for the recording of sound or other phenomena, but excluding products of Chapter 37",Magnetic and Optical Recording Media Manufacturing,334613,30.0
Optical Media for Software,390110,Polyethylene having a specific gravity of less than 0.94,Plastics Material and Resin Manufacturing,325211,10.0
Plastic Bags and Sacks,390110,Polyethylene with a specific gravity of less than 0.94,Petrochemical Manufacturing,325211,45.0
Plastic Bags and Sacks,390120,Polyethylene with a specific gravity of 0.94 or more,Petrochemical Manufacturing,325211,30.0
Plastic Bags and Sacks,390210,Polypropylene,Petrochemical Manufacturing,325211,20.0
Plastic Bags and Sacks,390690,Other Acrylic Polymers,Petrochemical Manufacturing,325211,5.0
Optical Media for Software,852341,"Discs for laser reading systems, for reproducing phenomena other than sound or image",Computer and Electronic Product Manufacturing,334614,50.0
Optical Media for Software,390720,Polyethers,Petrochemical Manufacturing,325211,25.0
Optical Media for Software,391190,"Polysulphides, polysulphones and other products specified in note 3 to this chapter",Petrochemical Manufacturing,325211,15.0
Optical Media for Software,390950,Polyurethanes,Petrochemical Manufacturing,325211,10.0
"Plastic Boxes, Cases, Crates, and Similar Articles",390210,Polypropylene,Plastics Material and Resin Manufacturing,325211,40.0
"Plastic Boxes, Cases, Crates, and Similar Articles",390110,Polyethylene,Plastics Material and Resin Manufacturing,325211,25.0
"Plastic Boxes, Cases, Crates, and Similar Articles",390120,Polyethylene having a specific gravity of 0.94 or more,Plastics Material and Resin Manufacturing,325211,10.0
"Plastic Boxes, Cases, Crates, and Similar Articles",390690,Acrylic polymers in primary forms,Plastics Material and Resin Manufacturing,325211,5.0
"Plastic Boxes, Cases, Crates, and Similar Articles",390950,Polyurethanes,Plastics Material and Resin Manufacturing,325211,5.0
Golf Balls,400211,Synthetic Rubber,Rubber Product Manufacturing,326299,20.0
Golf Balls,390110,Polyethylene,Plastics Material and Resin Manufacturing,325211,15.0
Golf Balls,390690,Acrylic Polymer,Plastics Material and Resin Manufacturing,325211,10.0
Golf Balls,560394,Nonwovens of Manmade Filaments,Textile Mills,313230,5.0
Optical Media for Software,390740,Polycarbonate,Plastics Material and Resin Manufacturing,325211,25.0
Optical Media for Software,390120,Polyvinyl Chloride,Plastics Material and Resin Manufacturing,325211,10.0
Optical Media for Software,390210,Polypropylene,Plastics Material and Resin Manufacturing,325211,5.0
Golf Clubs,722830,"Bars and rods, of alloy steel other than stainless",Steel Product Manufacturing,331221,25.0
Golf Clubs,731815,"Screws, bolts, nuts, coach screws, screw hooks, rivets, cotters, cotter pins, washers and similar articles, of iron or steel",Hardware Manufacturing,332722,5.0
Golf Clubs,392690,Other articles of plastics and articles of other materials of headings 3901 to 3914,Plastic Product Manufacturing,326199,10.0
Golf Clubs,420340,"Other clothing accessories, of leather or of composition leather",Leather and Allied Product Manufacturing,316998,2.0
Optical Media for Software,852341,"Discs for laser reading systems, for reproducing phenomena other than sound or image",Magnetic and Optical Media Manufacturing,334613,30.0
Optical Media for Software,392690,Other articles of plastics and articles of other materials of headings 3901 to 3914,Plastic Product Manufacturing,326199,15.0
Optical Media for Software,850490,Parts suitable for use solely or principally with the machines of heading 8504,Electrical Equipment Manufacturing,335999,5.0
Golf Gloves,420321,Leather gloves for sports,Leather and Allied Product Manufacturing,316998,40.0
Golf Gloves,392620,Plastic gloves,Plastics Product Manufacturing,326199,15.0
